vg_name,developer,year_released,avg_score,num_reviews,country,est,status,genre,NA_sales,EU_sales,Japan_sales,Nonspec_sales,Tot_sales
.hack//G.U. Last Recode,Bandai,2017,77.0,7.0,Japan,1950.0,Subsidiary,Role-Playing,0.1,0.04,0.08,0.03,0.24
7 Days to Die,Telltale Games,2016,42.08,12.0,USA,2004.0,Defunct,Action,0.09,0.08,0.0,0.03,0.21
Final Fantasy XV,Square Enix,2016,65.0,2.0,Japan,1975.0,Independent,Role-Playing,1.81,1.53,1.05,0.68,5.07
A Way Out,Electronic Arts,2018,77.03,29.0,USA,1982.0,Independent,Action,0.23,0.16,0.0,0.08,0.48
The King of Fighters XIV,SNK,2016,60.0,1.0,Japan,2001.0,Subsidiary,Fighting,0.21,0.02,0.06,0.05,0.34
Accel World vs. Sword Art Online: Millennium Twilight,Artdink,2017,62.5,14.0,Japan,1986.0,Independent,Action,0.0,0.03,0.06,0.01,0.1
Agents of Mayhem,Square Enix,2017,63.02,41.0,Japan,1975.0,Independent,Action,0.08,0.08,0.0,0.03,0.2
Alien: Isolation,Creative Assembly,2014,79.72,44.0,England,1987.0,Subsidiary,Adventure,0.29,0.59,0.05,0.16,1.09
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,Ubisoft,2017,80.0,1.0,France,1986.0,Independent,Misc,0.1,0.0,0.0,0.02,0.12
Angry Birds: Star Wars,Activision,2013,48.33,6.0,USA,1979.0,Subsidiary,Puzzle,0.11,0.09,0.0,0.04,0.23
ARK: Survival Evolved,Studio Wildcard,2017,67.7,10.0,USA,2014.0,Independent,Action,0.28,0.29,0.14,0.11,0.81
Arslan: The Warriors of Legend,Omega Force,2016,70.9,31.0,Japan,1997.0,Subsidiary,Action,0.03,0.04,0.06,0.01,0.14
Assassin's Creed Chronicles: China,Climax Studios,2015,68.11,27.0,England,1988.0,Independent,Action-Adventure,0.0,0.03,0.0,0.01,0.04
Assassin's Creed Chronicles,Climax Studios,2016,62.85,26.0,England,1988.0,Independent,Action,0.02,0.05,0.02,0.01,0.11
Assassin's Creed IV: Black Flag,Ubisoft,2013,85.31,18.0,France,1986.0,Independent,Action-Adventure,1.07,1.55,0.06,0.51,3.19
Assassin's Creed Origins,Ubisoft,2017,82.81,39.0,France,1986.0,Independent,Action,1.22,2.11,0.11,0.63,4.06
Assassin's Creed Syndicate,Ubisoft,2015,77.8,56.0,France,1986.0,Independent,Action,0.9,2.06,0.08,0.55,3.6
Assassin's Creed: Unity,Ubisoft,2014,68.11,27.0,France,1986.0,Independent,Action,1.25,2.16,0.09,0.65,4.14
Assassin's Creed The Ezio Collection,Ubisoft,2016,69.08,13.0,France,1986.0,Independent,Action,0.14,0.52,0.02,0.12,0.79
