vg_name,genre,NA_sales,EU_sales,Japan_sales,Nonspec_sales,Tot_sales,is_duplicated
Grand Theft Auto V,Action,6.06,9.71,0.6,3.02,19.39,0.0
Call of Duty: Black Ops 3,Shooter,6.18,6.05,0.41,2.44,15.09,0.0
Red Dead Redemption 2,Action-Adventure,5.26,6.21,0.21,2.26,13.94,0.0
Call of Duty: WWII,Shooter,4.67,6.21,0.4,2.12,13.4,0.0
FIFA 18,Sports,1.27,8.64,0.15,1.73,11.8,0.0
FIFA 17,Sports,1.26,7.95,0.12,1.61,10.94,0.0
Uncharted (PS4),Action,4.49,3.93,0.21,1.7,10.33,0.0
Spider-Man (PS4),Action-Adventure,3.64,3.39,0.32,1.41,8.76,0.0
Call of Duty: Infinite Warfare,Shooter,3.11,3.83,0.19,1.36,8.48,0.0
Fallout 4,Role-Playing,2.91,3.97,0.27,1.34,8.48,0.0
FIFA 16,Sports,1.15,5.77,0.07,1.23,8.22,0.0
Star Wars Battlefront (2015),Shooter,3.31,3.19,0.23,1.3,8.03,0.0
Call of Duty: Advanced Warfare,Shooter,2.84,3.34,0.14,1.22,7.53,0.0
Battlefield 1,Shooter,2.2,3.65,0.29,1.12,7.26,0.0
The Last of Us,Action-Adventure,2.7,2.86,0.11,1.1,6.77,0.0
MineCraft,Misc,1.89,3.13,0.35,0.96,6.33,0.0
FIFA 15,Sports,0.83,4.49,0.05,0.94,6.32,0.0
God of War (PS4),Action,2.83,2.17,0.13,1.02,6.15,0.0
Horizon: Zero Dawn,Action,2.2,2.43,0.28,0.92,5.82,0.0
Destiny,Shooter,2.53,2.13,0.16,0.94,5.76,0.0
Uncharted: The Nathan Drake Collection,Action,2.55,2.11,0.1,0.94,5.7,0.0
The Witcher 3: Wild Hunt,Role-Playing,1.48,2.82,0.28,0.81,5.39,0.0
Final Fantasy XV,Role-Playing,1.81,1.53,1.05,0.68,5.07,0.0
Crash Bandicoot N. Sane Trilogy,Platform,1.09,2.92,0.07,0.74,4.83,0.0
Monster Hunter: World,Action,1.03,1.06,2.17,0.42,4.67,0.0
Overwatch,Shooter,1.84,1.8,0.17,0.73,4.54,0.0
Star Wars Battlefront II (2017),Shooter,1.7,1.99,0.12,0.73,4.53,0.0
Tom Clancy's The Division,Shooter,1.49,2.04,0.16,0.69,4.37,0.0
Tom Clancy's Rainbow Six: Siege,Shooter,1.29,2.06,0.36,0.64,4.36,0.0
Watch Dogs,Action-Adventure,1.4,2.13,0.11,0.68,4.32,0.0
Call of Duty: Ghosts,Shooter,1.79,1.64,0.05,0.69,4.17,0.0
Assassin's Creed: Unity,Action,1.25,2.16,0.09,0.65,4.14,0.0
Destiny 2,Shooter,1.92,1.44,0.1,0.69,4.14,0.0
Batman: Arkham Knight,Action,1.65,1.68,0.11,0.66,4.11,0.0
Assassin's Creed Origins,Action,1.22,2.11,0.11,0.63,4.06,0.0
Far Cry 4,Shooter,1.18,2.14,0.11,0.63,4.06,0.0
NBA 2K16,Sports,2.56,0.66,0.05,0.71,3.98,0.0
Far Cry 5,Action,1.44,1.73,0.15,0.62,3.95,0.0
Battlefield 4,Shooter,1.4,1.74,0.19,0.62,3.94,0.0
Gran Turismo Sport,Racing,0.63,2.35,0.24,0.54,3.77,0.0
Assassin's Creed Syndicate,Action,0.9,2.06,0.08,0.55,3.6,0.0
NBA 2K17,Sports,2.28,0.59,0.03,0.63,3.52,0.0
Mortal Kombat X,Fighting,1.94,0.94,0.0,0.61,3.49,0.0
FIFA Soccer 14,Sports,0.62,2.18,0.12,0.51,3.43,0.0
The Elder Scrolls V: Skyrim,Role-Playing,1.24,1.5,0.08,0.54,3.36,0.0
Watch Dogs 2,Action,0.98,1.74,0.12,0.52,3.36,0.0
NBA 2K18,Sports,2.13,0.57,0.04,0.59,3.34,0.0
Resident Evil VII: Biohazard,Action,0.88,1.56,0.41,0.46,3.31,0.0
Madden NFL 16,Sports,2.39,0.31,0.0,0.61,3.3,0.0
Madden NFL 17,Sports,2.3,0.37,0.0,0.6,3.28,0.0
Middle-Earth: Shadow of Mordor,Action,1.03,1.6,0.05,0.51,3.19,0.0
Assassin's Creed IV: Black Flag,Action-Adventure,1.07,1.55,0.06,0.51,3.19,0.0
Tom Clancy's Ghost Recon Wildlands,Shooter,1.07,1.35,0.22,0.47,3.12,0.0
Bloodborne,Role-Playing,1.3,1.05,0.28,0.48,3.11,0.0
Metal Gear Solid V: The Phantom Pain,Action,0.97,1.15,0.5,0.42,3.04,0.0
Killzone: Shadow Fall,Shooter,0.89,1.58,0.08,0.47,3.02,0.0
inFAMOUS: Second Son,Action-Adventure,1.35,1.09,0.07,0.5,3.01,0.0
Doom (2016),Shooter,0.93,1.48,0.04,0.46,2.92,0.0
Mafia III,Action-Adventure,0.72,1.67,0.04,0.44,2.87,0.0
Diablo III,Role-Playing,0.83,1.48,0.08,0.44,2.82,0.0
Far Cry: Primal,Action-Adventure,0.63,1.61,0.07,0.41,2.73,0.0
Need for Speed (2015),Racing,0.59,1.66,0.06,0.41,2.72,0.0
Madden NFL 18,Sports,1.73,0.42,0.0,0.47,2.62,0.0
NBA 2K15,Sports,1.49,0.55,0.01,0.44,2.49,0.0
Dying Light,Action,1.18,0.74,0.13,0.4,2.45,0.0
Dark Souls III,Role-Playing,1.0,0.63,0.44,0.34,2.42,0.0
Ratchet & Clank (2016),Platform,0.97,0.97,0.06,0.39,2.38,0.0
DriveClub,Racing,0.37,1.63,0.02,0.36,2.37,0.0
Uncharted: The Lost Legacy,Action,0.58,1.38,0.04,0.36,2.37,0.0
Dragon Age III: Inquisition,Role-Playing,1.07,0.8,0.08,0.38,2.34,0.0
No Man's Sky,Action-Adventure,0.89,0.97,0.04,0.37,2.26,0.0
Madden NFL 15,Sports,1.58,0.25,0.0,0.41,2.25,0.0
Need for Speed: Payback,Racing,0.62,1.18,0.04,0.34,2.18,0.0
Destiny: The Taken King,Shooter,0.97,0.8,0.05,0.36,2.18,0.0
Need for Speed Rivals,Racing,0.75,1.04,0.03,0.35,2.17,0.0
PlayStation VR Worlds,Misc,0.36,1.4,0.09,0.32,2.16,0.0
Battlefield: Hardline,Shooter,0.72,0.97,0.14,0.33,2.15,0.0
Rise of the Tomb Raider,Adventure,0.61,1.08,0.05,0.32,2.07,0.0
LittleBigPlanet 3,Platform,0.78,0.93,0.01,0.34,2.06,0.0
The Elder Scrolls Online,MMO,0.74,0.98,0.0,0.33,2.05,0.0
Middle-Earth: Shadow of War,Action,0.82,0.84,0.06,0.33,2.04,0.0
Dragon Quest XI,Role-Playing,0.29,0.22,1.43,0.1,2.04,0.0
Rocket League,Sports,0.37,1.34,0.0,0.31,2.02,0.0
Just Cause 3,Action-Adventure,0.53,1.07,0.09,0.3,1.98,0.0
Dishonored 2,Action,0.62,1.02,0.01,0.31,1.97,0.0
Lego Marvel Super Heroes,Action,0.59,1.0,0.01,0.3,1.91,0.0
Until Dawn,Adventure,0.62,0.92,0.06,0.3,1.9,0.0
Knack,Platform,0.45,0.77,0.42,0.23,1.88,0.0
The Evil Within,Action,0.56,0.9,0.11,0.28,1.86,0.0
