Developer,Country,Est.,Status
0verflow,Japan,1997,Independent
11 bit studios,Poland,2010,Independent
1C Company,Russia,1991,Independent
1-Up Studio,Japan,2000,Subsidiary
2K Czech,Czech Republic,1997,Defunct
2K Games,US,2005,Subsidiary
2K Sports,US,2005,Subsidiary
343 Industries,US,2009,Subsidiary
38 Studios,US,2006,Defunct
3D Realms,US,1987,Independent
42 Entertainment,US,1993,Independent
4A Games,UkraineMalta,20052014,Independent
5th Cell,US,2003,Independent
989 Studios,US,1995,Defunct
Acclaim Entertainment,US,1987,Defunct
Acclaim Studios Austin,US,1991,Defunct
Accolade,US,1984,Defunct
Access Games,Japan,2002,Subsidiary
Access Software,US,1982,Defunct
ACE Team,Chile,2007,Independent
Aces Studio,US,,Defunct
Acheron Design,Australia,2004,Defunct
Action Forms,Ukraine,1995,Defunct
Active Gaming Media,Japan,2006,Independent
Activision,US,1979,Subsidiary
Adventure Soft,England,1992,Defunct
Akella,Russia,1995,Defunct
Alfa System,Japan,1988,Independent
AlphaDream,Japan,2000,Defunct
Amazon Game Studios,US,2012,Subsidiary
"Amazon Game Studios, Orange County (formerly Double Helix Games)",US,2007,Subsidiary
Ambrella,Japan,1996,Independent
Amusement Vision,Japan,2000,Defunct
Ancient,Japan,1990,Independent
Anino,Philippines,2001,Independent
Ankama Games,France,2001,Independent
Appy Entertainment,United States,2008,Defunct
AQ Interactive,Japan,2005,Defunct
Arc System Works,Japan,1988,Independent
Arcane Kids,United States,2010,Subsidiary
Arkane Studios,France,1999,Subsidiary
Arkedo Studio,France,2006,Defunct
ArenaNet,US,2000,Subsidiary
Arika,Japan,1995,Independent
"Art Co., Ltd",Japan,1995,Independent
Artdink,Japan,1986,Independent
ArtePiazza,Japan,1989,Independent
Artificial Studios,US,2001,Subsidiary
Artoon,Japan,1999,Defunct
Arzest,Japan,2010,Independent
Ascaron,Germany,1989,Defunct
Asobo Studio,France,2002,Independent
"Atari, SA",France,1983,Independent
Atari Interactive (formerly Hasbro Interactive),US,1995,Defunct
Atlus,Japan,1986,Subsidiary
Atomic Planet Entertainment,England,2000,Defunct
Attic Entertainment Software,Germany,1990,Defunct
Avalanche Studios,Sweden,2003,Subsidiary
Aventurine SA,Greece,2002,Defunct
Babaroga,US,2001,Independent
Backflip Studios,US,2009,Defunct
Bandai,Japan,1950,Subsidiary
Bandai Namco EntertainmentBandai Namco Studios,Japan,19552012,Subsidiary
Banpresto,Japan,1977,Defunct
Bauhaus Entertainment,Japan,2006,Subsidiary
B.B. Studio,Japan,1994,Subsidiary
