vg_name,developer,year_released,avg_score,num_reviews
.hack//G.U. Last Recode,CyberConnect2/Bandai Namco Games,2017,77.0,7.0
#KILLALLZOMBIES,Beatshapers,2014,62.71,7.0
10 Second Ninja X,GameDesignDan/Curve Digital,2016,76.31,16.0
1001 Spikes,Nicalis,2014,80.0,8.0
100ft Robot Golf,No Goblin,2017,59.29,14.0
101 Ways to Die,4 Door Lemon/Vision Games Publishing LTD,2016,52.5,4.0
11-11: Memories Retold,Digixart Entertainment/Bandai Namco Games,2018,79.0,14.0
140,Jeppe Carlsen/Abstraction Games,2016,70.0,4.0
1979 Revolution: Black Friday,iNK Stories/Digerati Distribution,2018,71.0,5.0
198X,Hi-Bit Studios,2019,78.0,5.0
2064: Read Only Memories,MidBoss,2017,78.31,13.0
20XX,Batterystaple Games/Fire Hose Games,2018,79.8,5.0
2Dark,Gloomywood/PQube,2017,54.43,14.0
2MD VR Football,Truant Pixel,2018,70.0,1.0
3on3 Freestyle,Joycity,2016,80.0,1.0
428: Shibuya Scramble,Spike Chunsoft,2018,85.83,12.0
5 Star Wrestling: ReGenesis,Serious Parody,2016,70.0,1.0
7 Days to Die,The Fun Pimps/Telltale Games,2016,42.08,12.0
8 to Glory: The Official Game of the PBR,Three Gates,2018,40.0,1.0
8-Bit Adventure Anthology: Volume One,Abstraction Games,2017,73.0,5.0
8-Bit Armies,Petroglyph/Soedesco,2018,72.5,4.0
8-Bit Hordes,Petroglyph,2019,61.37,8.0
88 Heroes,Bitmap Bureau/Rising Star Games,2017,71.67,3.0
8DAYS,Santa Clara Games/Badland Games,2017,62.5,4.0
99Vidas,QUByte Interactive,2017,61.5,8.0
A Bastard's Tale,No Pest Productions,2016,50.0,7.0
A Boy and His Blob,Abstraction Games/Majesco,2016,70.0,3.0
A Fisherman's Tale,Innerspace VR/Vertigo Games,2019,71.0,5.0
A Hat in Time,Gears for Breakfast,2017,77.86,7.0
A King's Tale: Final Fantasy XV,Square Enix,2016,65.0,2.0
A Pixel Story,Lamplight Studios/Rising Star Games,2017,75.0,1.0
A Plague Tale: Innocence,Asobo Studio/Focus Home Interactive,2019,81.48,31.0
A Way Out,Hazelight/Electronic Arts,2018,77.03,29.0
Aaero,Mad Fellows Ltd,2017,79.2,5.0
Aaru's Awakening,Lumenox ehf,2015,60.0,3.0
Absolute Drift: Zen Edition,Flippfly,2016,80.0,3.0
Absolver,Sloclap/Devolver Digital,2017,68.39,19.0
Abyss Odyssey: Extended Dream Edition,ACE Team/Atlus,2015,62.38,16.0
Abyss: The Wraiths of Eden,Artifex Mundi,2017,62.5,2.0
ABZU,Giant Squid/505 Games,2016,79.54,50.0
ACA NeoGeo: The King of Fighters 2000,SNK/Hamster,2016,60.0,1.0
Accel World vs. Sword Art Online: Millennium Twilight,Artdink/Bandai Namco Games,2017,62.5,14.0
Accounting+,Crows Crows Crows,2017,81.67,3.0
Ace Banana,TVR/Oasis Games,2016,39.44,16.0
Ace Combat 7: Skies Unknown,Project Aces /Bandai Namco Games,2019,80.56,27.0
Ace of Seafood,Nussoft/Playism,2017,55.0,2.0
Aces of the Luftwaffe,HandyGames,2015,35.0,1.0
Aces of the Luftwaffe: Squadron,HandyGames,2018,65.0,2.0
Achtung! Cthulhu Tactics,Auroch Digital/Ripstone,2018,63.75,4.0
ACT IT OUT! A Game of Charades,Snap Finger Click Ltd,2016,75.0,2.0
Action Henk,RageSquid,2016,73.11,9.0
